customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score
CUST-0272,2021-09-24,Organic,2022-09-24,Premium,Annual,,,23.99,2415,13
CUST-0273,2021-10-08,Referral,2021-11-07,Basic,Monthly,2023-01-04,No Longer Interested,6.99,300,64
CUST-0274,2021-10-22,Organic,2022-10-22,Standard,Annual,2025-05-15,Switched to Competitor,15.49,870,46
CUST-0275,2021-11-05,Paid,2021-12-05,Basic,Monthly,2022-03-18,Forgot to Cancel Trial,7.49,130,75
CUST-0276,2021-11-19,Referral,2022-11-19,Premium,Annual,,,18.49,1765,19
CUST-0277,2021-12-03,Organic,2022-01-02,Standard,Monthly,,,12.99,480,32
CUST-0278,2021-12-17,Paid,2022-12-17,Standard,Annual,,,13.99,920,24
CUST-0279,2022-01-01,Referral,2022-02-01,Premium,Monthly,2022-09-12,Poor Streaming Quality,19.49,570,60
CUST-0280,2022-01-15,Organic,2023-01-15,Premium,Annual,2024-08-29,Too Expensive,21.99,2075,36
CUST-0281,2022-01-29,Referral,2022-02-28,Basic,Monthly,2022-06-10,Payment Issues,5.99,175,70
CUST-0282,2022-02-12,Paid,2023-02-12,Standard,Annual,,,14.99,1000,27
CUST-0283,2022-02-26,Organic,2022-03-28,Standard,Monthly,2022-12-08,Switched to Competitor,11.49,450,31
CUST-0284,2022-03-12,Referral,2023-03-12,Premium,Annual,,,22.49,1825,18
CUST-0285,2022-03-26,Referral,2022-04-25,Basic,Monthly,2022-07-03,Forgot to Cancel Trial,6.49,110,73
CUST-0286,2022-04-09,Paid,2023-04-09,Premium,Annual,2024-10-02,Too Expensive,19.99,1610,39
CUST-0287,2022-04-23,Organic,2022-05-23,Standard,Monthly,,,10.99,470,33
CUST-0288,2022-05-07,Referral,2023-05-07,Standard,Annual,,,15.49,925,24
CUST-0289,2022-05-21,Organic,2022-06-20,Premium,Monthly,2023-02-01,Lack of Content,18.49,590,59
CUST-0290,2022-06-04,Paid,2023-06-04,Premium,Annual,,,21.49,2095,16
CUST-0291,2022-06-18,Referral,2022-07-18,Basic,Monthly,2023-03-02,Too Expensive,8.99,255,68
CUST-0292,2022-07-02,Organic,2023-07-02,Standard,Annual,2025-01-12,Switched to Competitor,13.99,885,47
CUST-0293,2022-07-16,Paid,2022-08-15,Basic,Monthly,,,5.49,380,35
CUST-0294,2022-07-30,Referral,2023-07-30,Premium,Annual,2024-03-22,Moved to Family Plan,19.49,1950,37
CUST-0295,2022-08-13,Organic,2022-09-12,Standard,Monthly,,,10.49,465,30
CUST-0296,2022-08-27,Referral,2023-08-27,Standard,Annual,,,11.99,940,22
CUST-0297,2022-09-10,Paid,2022-10-10,Premium,Monthly,2023-04-23,Too Expensive,17.99,600,58
CUST-0298,2022-09-24,Organic,2023-09-24,Premium,Annual,,,23.99,2410,13
CUST-0299,2022-10-08,Referral,2022-11-07,Basic,Monthly,2024-01-04,No Longer Interested,6.99,305,64
CUST-0300,2022-10-22,Organic,2023-10-22,Standard,Annual,2025-06-15,Switched to Competitor,15.49,875,46
CUST-0301,2022-11-05,Paid,2022-12-05,Basic,Monthly,2023-03-18,Forgot to Cancel Trial,7.49,135,75
CUST-0302,2022-11-19,Referral,2023-11-19,Premium,Annual,,,18.49,1760,19
CUST-0303,2022-12-03,Organic,2023-01-02,Standard,Monthly,,,12.99,485,32
CUST-0304,2022-12-17,Paid,2023-12-17,Standard,Annual,,,13.99,925,24
CUST-0305,2023-01-01,Referral,2023-02-01,Premium,Monthly,2023-09-12,Poor Streaming Quality,19.49,575,60
CUST-0306,2023-01-15,Organic,2024-01-15,Premium,Annual,2025-08-29,Too Expensive,21.99,2070,36
CUST-0307,2023-01-29,Referral,2023-02-28,Basic,Monthly,2023-06-10,Payment Issues,5.99,180,70
CUST-0308,2023-02-12,Paid,2024-02-12,Standard,Annual,,,14.99,1005,27
CUST-0309,2023-02-26,Organic,2023-03-28,Standard,Monthly,2023-12-08,Switched to Competitor,11.49,455,31
CUST-0310,2023-03-12,Referral,2024-03-12,Premium,Annual,,,22.49,1820,18
CUST-0311,2023-03-26,Referral,2023-04-25,Basic,Monthly,2023-07-03,Forgot to Cancel Trial,6.49,115,73
CUST-0312,2023-04-09,Paid,2024-04-09,Premium,Annual,2025-10-02,Too Expensive,19.99,1605,39
CUST-0313,2023-04-23,Organic,2023-05-23,Standard,Monthly,,,10.99,470,33
CUST-0314,2023-05-07,Referral,2024-05-07,Standard,Annual,,,15.49,930,24
CUST-0315,2023-05-21,Organic,2023-06-20,Premium,Monthly,2024-02-01,Lack of Content,18.49,590,59
CUST-0316,2023-06-04,Paid,2024-06-04,Premium,Annual,,,21.49,2090,16
CUST-0317,2023-06-18,Referral,2023-07-18,Basic,Monthly,2024-03-02,Too Expensive,8.99,255,68
CUST-0318,2023-07-02,Organic,2024-07-02,Standard,Annual,2025-12-12,Switched to Competitor,13.99,885,47
CUST-0319,2023-07-16,Paid,2023-08-15,Basic,Monthly,,,5.49,380,35
CUST-0320,2023-07-30,Referral,2024-07-30,Premium,Annual,2025-03-22,Moved to Family Plan,19.49,1955,37
CUST-0321,2019-01-06,Referral,2019-02-05,Basic,Monthly,2019-06-14,Payment Issues,0.0,95,78
CUST-0322,2019-01-20,Organic,2020-01-20,Standard,Annual,2021-04-25,Switched to Competitor,12.99,860,50
CUST-0323,2019-02-03,Paid,2019-03-05,Premium,Monthly,2019-12-11,Too Expensive,18.49,510,64
CUST-0324,2019-02-17,Referral,2020-02-16,Premium,Annual,,,21.49,1700,20
CUST-0325,2019-03-03,Organic,2019-04-02,Standard,Monthly,2019-09-19,No Longer Interested,10.99,260,66
CUST-0326,2019-03-17,Referral,2020-03-16,Standard,Annual,,,11.49,920,23
CUST-0327,2019-03-31,Paid,2019-04-30,Basic,Monthly,2020-01-07,Payment Issues,6.49,155,71
CUST-0328,2019-04-14,Referral,2020-04-13,Premium,Annual,2022-03-22,Moved to Family Plan,19.99,1890,38
CUST-0329,2019-04-28,Organic,2019-05-28,Standard,Monthly,,,12.49,435,31
CUST-0330,2019-05-12,Referral,2020-05-11,Standard,Annual,,,14.99,975,21
CUST-0331,2019-05-26,Paid,2019-06-25,Premium,Monthly,2020-02-03,Poor Streaming Quality,17.99,540,61
CUST-0332,2019-06-09,Organic,2020-06-08,Premium,Annual,2021-10-19,Too Expensive,22.99,1530,42
CUST-0333,2019-06-23,Referral,2019-07-23,Basic,Monthly,2019-11-01,Forgot to Cancel Trial,7.49,110,73
CUST-0334,2019-07-07,Organic,2020-07-06,Standard,Annual,,,11.99,900,24
CUST-0335,2019-07-21,Paid,2019-08-20,Standard,Monthly,,,10.49,385,33
CUST-0336,2019-08-04,Referral,2020-08-03,Premium,Annual,,,20.49,1745,17
CUST-0337,2019-08-18,Referral,2019-09-17,Basic,Monthly,2020-01-25,Too Expensive,5.99,205,69
CUST-0338,2019-09-01,Organic,2020-09-01,Standard,Annual,2022-02-11,Switched to Competitor,13.49,845,48
CUST-0339,2019-09-15,Paid,2019-10-15,Basic,Monthly,,,6.99,370,34
CUST-0340,2019-09-29,Referral,2020-09-28,Premium,Annual,2021-11-09,Lack of Content,18.99,1610,39
CUST-0341,2019-10-13,Organic,2019-11-12,Standard,Monthly,2020-05-21,No Longer Interested,10.49,275,65
CUST-0342,2019-10-27,Paid,2020-10-26,Premium,Annual,,,23.99,2325,12
CUST-0343,2019-11-10,Referral,2019-12-10,Standard,Monthly,,,11.99,420,30
CUST-0344,2019-11-24,Organic,2020-11-23,Standard,Annual,2021-08-19,Switched to Competitor,15.49,900,49
CUST-0345,2019-12-08,Paid,2020-01-07,Basic,Monthly,2020-03-16,Payment Issues,7.49,150,72
CUST-0346,2019-12-22,Referral,2020-12-21,Premium,Annual,,,21.99,1880,18
CUST-0347,2020-01-05,Organic,2020-02-04,Standard,Monthly,,,12.99,465,29
CUST-0348,2020-01-19,Referral,2021-01-19,Standard,Annual,2022-04-23,Lack of Content,13.99,910,46
CUST-0349,2020-02-02,Paid,2020-03-03,Premium,Monthly,2020-11-12,Too Expensive,19.49,525,59
CUST-0350,2020-02-16,Organic,2021-02-16,Premium,Annual,,,22.49,2110,15
CUST-0351,2020-03-01,Referral,2020-03-31,Basic,Monthly,2020-06-09,No Longer Interested,6.99,210,69
CUST-0352,2020-03-15,Organic,2021-03-15,Standard,Annual,,,11.49,895,23
CUST-0353,2020-03-29,Paid,2020-04-28,Standard,Monthly,2020-12-05,Switched to Competitor,10.99,345,57
CUST-0354,2020-04-12,Referral,2021-04-12,Premium,Annual,2023-02-21,Moved to Family Plan,20.49,1920,37
CUST-0355,2020-04-26,Referral,2020-05-26,Basic,Monthly,2020-08-30,Forgot to Cancel Trial,5.49,120,73
CUST-0356,2020-05-10,Organic,2021-05-10,Standard,Annual,,,14.49,975,21
CUST-0357,2020-05-24,Paid,2020-06-23,Premium,Monthly,2021-02-04,Poor Streaming Quality,18.99,570,61
CUST-0358,2020-06-07,Organic,2021-06-07,Premium,Annual,2023-01-18,Too Expensive,23.49,2235,14
CUST-0359,2020-06-21,Referral,2020-07-21,Basic,Monthly,2021-01-29,Too Expensive,7.49,220,66
CUST-0360,2020-07-05,Organic,2021-07-05,Standard,Annual,2022-12-14,Switched to Competitor,12.49,880,48
CUST-0361,2020-07-19,Paid,2020-08-18,Basic,Monthly,,,5.99,380,35
CUST-0362,2020-08-02,Referral,2021-08-02,Premium,Annual,2024-01-10,Too Expensive,19.99,1975,36
CUST-0363,2020-08-16,Organic,2020-09-15,Standard,Monthly,,,10.49,460,30
CUST-0364,2020-08-30,Referral,2021-08-30,Standard,Annual,,,11.99,930,22
CUST-0365,2020-09-13,Paid,2020-10-13,Premium,Monthly,2021-06-27,Lack of Content,17.49,595,58
CUST-0366,2020-09-27,Organic,2021-09-27,Premium,Annual,,,22.99,2390,13
CUST-0367,2020-10-11,Referral,2020-11-10,Basic,Monthly,2022-01-07,No Longer Interested,6.49,300,64
CUST-0368,2020-10-25,Organic,2021-10-25,Standard,Annual,2023-05-18,Switched to Competitor,15.49,875,46
CUST-0369,2020-11-08,Paid,2020-12-08,Basic,Monthly,2021-03-20,Forgot to Cancel Trial,7.99,130,75
CUST-0370,2020-11-22,Referral,2021-11-22,Premium,Annual,,,18.49,1770,19
CUST-0371,2020-12-06,Organic,2021-01-05,Standard,Monthly,,,12.99,485,32
CUST-0372,2020-12-20,Paid,2021-12-20,Standard,Annual,,,13.49,930,24
CUST-0373,2021-01-03,Referral,2021-02-02,Premium,Monthly,2021-09-15,Poor Streaming Quality,19.49,580,60
CUST-0374,2021-01-17,Organic,2022-01-17,Premium,Annual,2023-08-30,Too Expensive,21.99,2060,37
CUST-0375,2021-01-31,Referral,2021-03-02,Basic,Monthly,2021-06-18,Payment Issues,5.99,185,70
CUST-0376,2021-02-14,Paid,2022-02-14,Standard,Annual,,,14.99,1000,27
CUST-0377,2021-02-28,Organic,2021-03-30,Standard,Monthly,2022-01-10,Switched to Competitor,11.49,460,31
CUST-0378,2021-03-14,Referral,2022-03-14,Premium,Annual,,,22.49,1815,18
CUST-0379,2021-03-28,Referral,2021-04-27,Basic,Monthly,2021-07-05,Forgot to Cancel Trial,6.49,120,73
CUST-0380,2021-04-11,Paid,2022-04-11,Premium,Annual,2023-09-04,Too Expensive,19.99,1615,39
CUST-0381,2021-04-25,Organic,2021-05-25,Standard,Monthly,,,10.99,475,33
CUST-0382,2021-05-09,Referral,2022-05-09,Standard,Annual,,,15.49,920,24
CUST-0383,2021-05-23,Organic,2021-06-22,Premium,Monthly,2022-02-03,Lack of Content,18.49,595,59
CUST-0384,2021-06-06,Paid,2022-06-06,Premium,Annual,,,21.49,2085,16
CUST-0385,2021-06-20,Referral,2021-07-20,Basic,Monthly,2022-03-03,Too Expensive,8.99,250,68
CUST-0386,2021-07-04,Organic,2022-07-04,Standard,Annual,2023-12-13,Switched to Competitor,13.99,890,47
CUST-0387,2021-07-18,Paid,2021-08-17,Basic,Monthly,,,5.49,375,35
CUST-0388,2021-08-01,Referral,2022-08-01,Premium,Annual,2024-02-20,Moved to Family Plan,19.49,1945,37
CUST-0389,2021-08-15,Organic,2021-09-14,Standard,Monthly,,,10.49,470,30
CUST-0390,2021-08-29,Referral,2022-08-29,Standard,Annual,,,11.99,940,22
CUST-0391,2021-09-12,Paid,2021-10-12,Premium,Monthly,2022-04-25,Too Expensive,17.99,600,58
CUST-0392,2021-09-26,Organic,2022-09-26,Premium,Annual,,,23.99,2420,13
CUST-0393,2021-10-10,Referral,2021-11-09,Basic,Monthly,2023-01-06,No Longer Interested,6.99,310,64
CUST-0394,2021-10-24,Organic,2022-10-24,Standard,Annual,2025-05-18,Switched to Competitor,15.49,880,46
CUST-0395,2021-11-07,Paid,2021-12-07,Basic,Monthly,2022-03-20,Forgot to Cancel Trial,7.49,140,75
CUST-0396,2021-11-21,Referral,2022-11-21,Premium,Annual,,,18.49,1775,19
CUST-0397,2021-12-05,Organic,2022-01-04,Standard,Monthly,,,12.99,490,32
CUST-0398,2021-12-19,Paid,2022-12-19,Standard,Annual,,,13.49,935,24
CUST-0399,2022-01-02,Referral,2022-02-01,Premium,Monthly,2022-09-14,Poor Streaming Quality,19.49,585,60
CUST-0400,2022-01-16,Organic,2023-01-16,Premium,Annual,2024-09-01,Too Expensive,21.99,2080,37
CUST-0401,2019-01-04,Referral,2019-02-03,Basic,Monthly,2019-05-12,Payment Issues,6.49,105,77
CUST-0402,2019-01-18,Organic,2020-01-18,Standard,Annual,2021-04-24,Switched to Competitor,12.99,840,49
CUST-0403,2019-02-01,Paid,2019-03-03,Premium,Monthly,2019-11-10,Too Expensive,18.99,515,63
CUST-0404,2019-02-15,Referral,2020-02-14,Premium,Annual,,,21.49,1695,19
CUST-0405,2019-03-01,Organic,2019-04-01,Standard,Monthly,2019-08-16,No Longer Interested,10.49,250,67
CUST-0406,2019-03-15,Referral,2020-03-14,Standard,Annual,,,11.99,935,23
CUST-0407,2019-03-29,Paid,2019-04-28,Basic,Monthly,2020-01-02,Payment Issues,5.49,165,70
CUST-0408,2019-04-12,Referral,2020-04-11,Premium,Annual,2022-02-18,Moved to Family Plan,19.99,1910,38
CUST-0409,2019-04-26,Organic,2019-05-26,Standard,Monthly,,,12.49,445,31
CUST-0410,2019-05-10,Referral,2020-05-09,Standard,Annual,,,14.49,985,21
CUST-0411,2019-05-24,Paid,2019-06-23,Premium,Monthly,2020-03-01,Poor Streaming Quality,17.49,550,60
CUST-0412,2019-06-07,Organic,2020-06-06,Premium,Annual,2021-11-14,Too Expensive,22.49,1550,42
CUST-0413,2019-06-21,Referral,2019-07-21,Basic,Monthly,2019-10-28,Forgot to Cancel Trial,7.99,115,72
CUST-0414,2019-07-05,Organic,2020-07-04,Standard,Annual,,,11.99,910,24
CUST-0415,2019-07-19,Paid,2019-08-18,Standard,Monthly,,,10.99,395,33
CUST-0416,2019-08-02,Referral,2020-08-01,Premium,Annual,,,20.99,1770,17
CUST-0417,2019-08-16,Referral,2019-09-15,Basic,Monthly,2020-02-21,Too Expensive,5.99,215,69
CUST-0418,2019-08-30,Organic,2020-08-29,Standard,Annual,2022-01-08,Switched to Competitor,13.49,855,48
CUST-0419,2019-09-13,Paid,2019-10-13,Basic,Monthly,,,6.99,380,34
CUST-0420,2019-09-27,Referral,2020-09-26,Premium,Annual,2021-12-04,Lack of Content,18.99,1620,39
CUST-0421,2019-10-11,Organic,2019-11-10,Standard,Monthly,2020-06-17,No Longer Interested,10.49,280,65
CUST-0422,2019-10-25,Paid,2020-10-24,Premium,Annual,,,23.49,2310,13
CUST-0423,2019-11-08,Referral,2019-12-08,Standard,Monthly,,,11.49,420,30
CUST-0424,2019-11-22,Organic,2020-11-21,Standard,Annual,2021-09-16,Switched to Competitor,15.99,895,50
CUST-0425,2019-12-06,Paid,2020-01-05,Basic,Monthly,2020-04-13,Payment Issues,7.49,150,71
CUST-0426,2019-12-20,Referral,2020-12-19,Premium,Annual,,,21.99,1885,18
CUST-0427,2020-01-03,Organic,2020-02-02,Standard,Monthly,,,12.99,470,29
CUST-0428,2020-01-17,Referral,2021-01-17,Standard,Annual,2022-05-20,Lack of Content,13.49,920,46
CUST-0429,2020-01-31,Paid,2020-03-01,Premium,Monthly,2020-10-10,Too Expensive,19.99,535,59
CUST-0430,2020-02-14,Organic,2021-02-14,Premium,Annual,,,22.99,2120,15
CUST-0431,2020-02-28,Referral,2020-03-29,Basic,Monthly,2020-07-05,No Longer Interested,6.49,205,69
CUST-0432,2020-03-13,Organic,2021-03-13,Standard,Annual,,,11.49,905,23
CUST-0433,2020-03-27,Paid,2020-04-26,Standard,Monthly,2021-01-01,Switched to Competitor,10.99,350,57
CUST-0434,2020-04-10,Referral,2021-04-10,Premium,Annual,2023-03-18,Moved to Family Plan,20.49,1935,37
CUST-0435,2020-04-24,Referral,2020-05-24,Basic,Monthly,2020-09-02,Forgot to Cancel Trial,5.49,120,73
CUST-0436,2020-05-08,Organic,2021-05-08,Standard,Annual,,,14.99,990,21
CUST-0437,2020-05-22,Paid,2020-06-21,Premium,Monthly,2021-03-04,Poor Streaming Quality,18.49,575,61
CUST-0438,2020-06-05,Organic,2021-06-05,Premium,Annual,,,23.49,2250,14
CUST-0439,2020-06-19,Referral,2020-07-19,Basic,Monthly,2021-01-27,Too Expensive,7.99,230,66
CUST-0440,2020-07-03,Organic,2021-07-03,Standard,Annual,2023-01-14,Switched to Competitor,12.49,875,48
CUST-0441,2020-07-17,Paid,2020-08-16,Basic,Monthly,,,5.99,390,35
CUST-0442,2020-07-31,Referral,2021-07-31,Premium,Annual,2024-02-09,Too Expensive,19.49,1990,36
CUST-0443,2020-08-14,Organic,2020-09-13,Standard,Monthly,,,10.49,455,30
CUST-0444,2020-08-28,Referral,2021-08-28,Standard,Annual,,,11.99,960,22
CUST-0445,2020-09-11,Paid,2020-10-11,Premium,Monthly,2021-06-24,Lack of Content,17.99,600,58
CUST-0446,2020-09-25,Organic,2021-09-25,Premium,Annual,,,22.49,2390,13
CUST-0447,2020-10-09,Referral,2020-11-08,Basic,Monthly,2022-01-04,No Longer Interested,6.99,310,63
CUST-0448,2020-10-23,Organic,2021-10-23,Standard,Annual,2023-06-01,Switched to Competitor,15.49,880,47
CUST-0449,2020-11-06,Paid,2020-12-06,Basic,Monthly,2021-03-17,Forgot to Cancel Trial,7.49,140,75
CUST-0450,2020-11-20,Referral,2021-11-20,Premium,Annual,,,18.99,1720,19
CUST-0451,2020-12-04,Organic,2021-01-03,Standard,Monthly,,,12.99,485,32
CUST-0452,2020-12-18,Paid,2021-12-18,Standard,Annual,,,13.49,935,24
CUST-0453,2021-01-01,Referral,2021-02-01,Premium,Monthly,2021-09-09,Poor Streaming Quality,19.49,580,60
CUST-0454,2021-01-15,Organic,2022-01-15,Premium,Annual,2023-08-26,Too Expensive,21.99,2065,37
CUST-0455,2021-01-29,Referral,2021-03-01,Basic,Monthly,2021-06-13,Payment Issues,5.99,190,70
CUST-0456,2021-02-12,Paid,2022-02-12,Standard,Annual,,,14.49,1010,27
CUST-0457,2021-02-26,Organic,2021-03-28,Standard,Monthly,2022-01-08,Switched to Competitor,11.49,460,31
CUST-0458,2021-03-12,Referral,2022-03-12,Premium,Annual,,,22.49,1825,18
CUST-0459,2021-03-26,Referral,2021-04-25,Basic,Monthly,2021-07-02,Forgot to Cancel Trial,6.49,120,73
CUST-0460,2021-04-09,Paid,2022-04-09,Premium,Annual,2023-10-03,Too Expensive,19.99,1610,39
CUST-0461,2021-04-23,Organic,2021-05-23,Standard,Monthly,,,10.99,475,33
CUST-0462,2021-05-07,Referral,2022-05-07,Standard,Annual,,,15.49,930,24
CUST-0463,2021-05-21,Organic,2021-06-20,Premium,Monthly,2022-02-01,Lack of Content,18.49,600,59
CUST-0464,2021-06-04,Paid,2022-06-04,Premium,Annual,,,21.49,2105,16
CUST-0465,2021-06-18,Referral,2021-07-18,Basic,Monthly,2022-03-01,Too Expensive,8.99,260,68
CUST-0466,2021-07-02,Organic,2022-07-02,Standard,Annual,2023-12-10,Switched to Competitor,13.99,890,47
CUST-0467,2021-07-16,Paid,2021-08-15,Basic,Monthly,,,-10.0,60,82
CUST-0468,2021-07-30,Referral,2022-07-30,Premium,Annual,2024-02-21,Moved to Family Plan,19.49,1960,37
CUST-0469,2021-08-13,Organic,2021-09-12,Standard,Monthly,,,10.49,470,30
CUST-0470,2021-08-27,Referral,2022-08-27,Standard,Annual,,,11.99,945,22
CUST-0471,2021-09-10,Paid,2021-10-10,Premium,Monthly,2022-04-22,Too Expensive,17.99,605,58
CUST-0472,2021-09-24,Organic,2022-09-24,Premium,Annual,,,23.99,2425,13
CUST-0473,2021-10-08,Referral,2021-11-07,Basic,Monthly,2023-01-03,No Longer Interested,6.99,315,64
CUST-0474,2021-10-22,Organic,2022-10-22,Standard,Annual,2025-05-14,Switched to Competitor,15.49,885,46
CUST-0475,2021-11-05,Paid,2021-12-05,Basic,Monthly,2022-03-19,Forgot to Cancel Trial,7.49,145,75
CUST-0476,2021-11-19,Referral,2022-11-19,Premium,Annual,,,18.49,1770,19
CUST-0477,2021-12-03,Organic,2022-01-02,Standard,Monthly,,,12.99,490,32
CUST-0478,2021-12-17,Paid,2022-12-17,Standard,Annual,,,13.99,940,24
CUST-0479,2022-01-01,Referral,2022-02-01,Premium,Monthly,2022-09-11,Poor Streaming Quality,19.49,585,60
CUST-0480,2022-01-15,Organic,2023-01-15,Premium,Annual,2024-08-28,Too Expensive,21.99,2085,37
CUST-0481,2022-01-29,Referral,2022-02-28,Basic,Monthly,2022-06-09,Payment Issues,5.99,185,70
CUST-0482,2022-02-12,Paid,2023-02-12,Standard,Annual,,,14.99,1015,27
CUST-0483,2022-02-26,Organic,2022-03-28,Standard,Monthly,2022-12-07,Switched to Competitor,11.49,460,31
CUST-0484,2022-03-12,Referral,2023-03-12,Premium,Annual,,,22.49,1830,18
CUST-0485,2022-03-26,Referral,2022-04-25,Basic,Monthly,2022-07-02,Forgot to Cancel Trial,6.49,125,73
CUST-0486,2022-04-09,Paid,2023-04-09,Premium,Annual,2024-10-01,Too Expensive,19.99,1615,39
CUST-0487,2022-04-23,Organic,2022-05-23,Standard,Monthly,,,10.99,475,33
CUST-0488,2022-05-07,Referral,2023-05-07,Standard,Annual,,,15.49,935,24
CUST-0489,2022-05-21,Organic,2022-06-20,Premium,Monthly,2023-01-31,Lack of Content,18.49,600,59
CUST-0490,2022-06-04,Paid,2023-06-04,Premium,Annual,,,21.49,2100,16
CUST-0491,2022-06-18,Referral,2022-07-18,Basic,Monthly,2023-03-01,Too Expensive,8.99,265,68
CUST-0492,2022-07-02,Organic,2023-07-02,Standard,Annual,2025-01-11,Switched to Competitor,13.99,890,47
CUST-0493,2022-07-16,Paid,2022-08-15,Basic,Monthly,,,5.49,385,35
CUST-0494,2022-07-30,Referral,2023-07-30,Premium,Annual,2024-03-21,Moved to Family Plan,19.49,1965,37
CUST-0495,2022-08-13,Organic,2022-09-12,Standard,Monthly,,,10.49,470,30
CUST-0496,2022-08-27,Referral,2023-08-27,Standard,Annual,,,11.99,945,22
CUST-0497,2022-09-10,Paid,2022-10-10,Premium,Monthly,2023-04-22,Too Expensive,17.99,610,58
CUST-0498,2022-09-24,Organic,2023-09-24,Premium,Annual,,,23.99,2430,13
CUST-0499,2022-10-08,Referral,2022-11-07,Basic,Monthly,2024-01-03,No Longer Interested,6.99,320,64
CUST-0500,2022-10-22,Organic,2023-10-22,Standard,Annual,2025-06-14,Switched to Competitor,15.49,885,46
CUST-0501,2022-11-05,Paid,2022-12-05,Basic,Monthly,2023-03-17,Forgot to Cancel Trial,7.49,150,75
CUST-0502,2022-11-19,Referral,2023-11-19,Premium,Annual,,,18.49,1775,19
CUST-0503,2022-12-03,Organic,2023-01-02,Standard,Monthly,,,12.99,495,32
CUST-0504,2022-12-17,Paid,2023-12-17,Standard,Annual,,,13.99,945,24
CUST-0505,2023-01-01,Referral,2023-02-01,Premium,Monthly,2023-09-11,Poor Streaming Quality,19.49,590,60
CUST-0506,2023-01-15,Organic,2024-01-15,Premium,Annual,2025-08-28,Too Expensive,21.99,2080,37
CUST-0507,2023-01-29,Referral,2023-02-28,Basic,Monthly,2023-06-09,Payment Issues,5.99,190,70
CUST-0508,2023-02-12,Paid,2024-02-12,Standard,Annual,,,14.99,1010,27
CUST-0509,2023-02-26,Organic,2023-03-28,Standard,Monthly,2023-12-07,Switched to Competitor,11.49,460,31
CUST-0510,2023-03-12,Referral,2024-03-12,Premium,Annual,,,22.49,1825,18
CUST-0511,2023-03-26,Referral,2023-04-25,Basic,Monthly,2023-07-02,Forgot to Cancel Trial,6.49,130,73
CUST-0512,2023-04-09,Paid,2024-04-09,Premium,Annual,2025-10-01,Too Expensive,19.99,1620,39
CUST-0513,2023-04-23,Organic,2023-05-23,Standard,Monthly,,,10.99,480,33
CUST-0514,2023-05-07,Referral,2024-05-07,Standard,Annual,,,15.49,935,24
CUST-0515,2023-05-21,Organic,2023-06-20,Premium,Monthly,2024-01-31,Lack of Content,18.49,605,59
CUST-0516,2023-06-04,Paid,2024-06-04,Premium,Annual,,,21.49,2105,16
CUST-0517,2023-06-18,Referral,2023-07-18,Basic,Monthly,2024-03-01,Too Expensive,8.99,270,68
CUST-0518,2023-07-02,Organic,2024-07-02,Standard,Annual,2025-12-11,Switched to Competitor,13.99,890,47
CUST-0519,2023-07-16,Paid,2023-08-15,Basic,Monthly,,,5.49,390,35
CUST-0520,2023-07-30,Referral,2024-07-30,Premium,Annual,2025-03-21,Moved to Family Plan,19.49,1960,37
CUST-0521,2019-01-09,Referral,2020-01-09,Basic,Annual,2021-03-18,Too Expensive,9.99,425,55
CUST-0522,2019-02-20,Organic,2019-03-22,Standard,Monthly,,,12.49,390,28
CUST-0523,2019-03-04,Paid,2020-03-04,Premium,Annual,2022-01-09,Switched to Competitor,20.99,1490,41
CUST-0524,2019-03-18,Referral,2019-04-17,Basic,Monthly,2020-02-06,No Longer Interested,7.49,220,66
CUST-0525,2019-04-01,Organic,2020-04-01,Standard,Annual,,,11.99,915,22
CUST-0526,2019-04-15,Referral,2019-05-15,Premium,Monthly,2019-12-21,Too Expensive,17.99,545,63
CUST-0527,2019-04-29,Paid,2020-04-28,Premium,Annual,,,23.99,2310,12
CUST-0528,2019-05-13,Organic,2019-06-12,Standard,Monthly,2020-03-19,Lack of Content,10.99,330,59
CUST-0529,2019-05-27,Referral,2020-05-26,Basic,Annual,,,8.99,605,33
CUST-0530,2019-06-10,Paid,2019-07-10,Basic,Monthly,2019-09-20,Forgot to Cancel Trial,6.49,130,72
CUST-0531,2019-06-24,Organic,2020-06-23,Standard,Annual,2021-12-29,Switched to Competitor,13.49,835,48
CUST-0532,2019-07-08,Referral,2019-08-07,Premium,Monthly,2020-02-19,Poor Streaming Quality,18.49,520,61
CUST-0533,2019-07-22,Organic,2020-07-21,Premium,Annual,,,22.49,2110,15
CUST-0534,2019-08-05,Referral,2019-09-04,Basic,Monthly,2020-01-10,Too Expensive,5.99,200,69
CUST-0535,2019-08-19,Paid,2020-08-18,Standard,Annual,,,14.99,965,26
CUST-0536,2019-09-02,Organic,2019-10-02,Standard,Monthly,,,11.49,415,29
CUST-0537,2019-09-16,Referral,2020-09-15,Premium,Annual,2021-11-04,Moved to Family Plan,19.99,1895,38
CUST-0538,2019-09-30,Organic,2019-10-30,Basic,Monthly,2020-06-06,No Longer Interested,7.99,235,64
CUST-0539,2019-10-14,Paid,2020-10-13,Premium,Annual,,,21.49,1760,18
CUST-0540,2019-10-28,Referral,2019-11-27,Standard,Monthly,2020-03-08,Technical Problems,10.49,360,60
CUST-0541,2019-11-11,Organic,2020-11-10,Standard,Annual,,,12.99,900,24
